factor,parameter,value,unit,confidence,changed_vs_0723,notes,as_of,source_label,
H2,P0,6.25,USD_per_kg,Med,no,SSOT anchor 6.0-6.5 (APAC 6.5 Jan-2026 / Japan 5.3-5.8); LSM toy used 6.0 (rounding),2026-07-26,planit_internal,
H2,mu_drift,-4.0,percent_per_yr,Low-Med,no,declining ~-50pct by 2030; CfD/CHPS truncates effective sigma,2026-07-26,planit_internal,
H2,sigma,30,percent_per_yr,Low,no,~est pending empirical time series,2026-07-26,planit_internal,
Electricity,P0_KR,126,USD_per_MWh,Med,no,~KRW174/kWh Sep-2025; LSM toy single-jurisdiction used 126,2026-07-26,planit_internal,
Electricity,P0_JP,150-180,USD_per_MWh,Med,no,retail all-in; industrial ~110-120; PRODUCTION LSM must split KR/JP,2026-07-26,planit_internal,
Electricity,mu_drift,0-1.5,percent_per_yr,Low,no,KR policy-suppressed; JP liberalized/fuel-linked,2026-07-26,planit_internal,
Electricity,sigma_KR,12,percent_per_yr,Low,no,~est; empirical KPX SMP pull pending; LSM toy used single 0.15 (mid) -- production must split,2026-07-26,planit_internal,
Electricity,sigma_JP,25,percent_per_yr,Low,no,~est; empirical JEPX pull pending,2026-07-26,planit_internal,
Carbon_KR,P0,14.5,USD_per_tCO2,Med-High,no,KRW20000 held (Carbon Pulse 521439 mid-Jun-2026); LATEST adopted vs D1 07-20 $9.53/KRW13750 Mar-2026 (date-stamp flag),2026-07-26,planit_internal,
Carbon_KR,mu_drift,positive_realized_rising,qualitative,Med-High,no,Phase4 structural tightening (cap -12pct); sustained above KRW20000,2026-07-26,planit_internal,
Carbon_KR,sigma,50,percent_per_yr,Med,no,Carbon VIX empirical anchor ~50pct (band 30-83); DOMINANT vol; drives WAITING wedge (Phase-1b),2026-07-26,planit_internal,
Carbon_JP,floor_P,11,USD_per_tCO2,High,no,JPY1700 FY2026; +3pct/yr rising floor,2026-07-26,planit_internal,
Carbon_JP,ceiling_P,27.7,USD_per_tCO2,High,no,JPY4300 FY2026; +3pct/yr; effective ceiling ~30 via 1.1x penalty,2026-07-26,planit_internal,
Carbon_JP,sigma_effective,low_truncated,qualitative,Med,no,GX-ETS collar strongly truncates realized sigma (real-world sigma-truncation example),2026-07-26,planit_internal,
Carbon_EU,reference,80.5,EUR_per_tCO2,High,no,Jul-2026 79.4-81.8; Phase5 reform tabled 2026-07-17,2026-07-26,planit_internal,
WACC,r_KR,7.75,percent_per_yr,Low-Med,no,D3 range 7.0-8.5 midpoint; LSM toy used single 0.075 (KR),2026-07-26,planit_internal,
WACC,r_JP,5.75,percent_per_yr,Low-Med,no,D3 range 5.0-6.5 midpoint; PRODUCTION LSM must split,2026-07-26,planit_internal,
Model,dEmis,1.65,tCO2_per_t_steel,Med,no,BF-BOF (2.15) - H2-DRI (0.5); D3 anchor,2026-07-26,planit_internal,
Model,base_diff,16,USD_per_t_steel,Med,no,LCOS(H2-DRI)-LCOS(BF-BOF) at H2 $1/kg carbon 0 (Transition Asia KR),2026-07-26,planit_internal,
Model,h2_slope,55,USD_per_t_per_USDkg,Med,no,55 kg H2 / t steel,2026-07-26,planit_internal,
Model,LEVEL_gap_toy,139,USD_per_t_steel,Med-Low,no,Marshallian/option-off at t*=10y; VERIFIED reproduces 2026-07-26; Phase-1 baseline object,2026-07-26,planit_internal,
Model,DP_multiple_sig0.20,2.23,x,High,no,trigger m=beta/(beta-1); comparative-statics robust,2026-07-26,planit_internal,
Model,DP_multiple_sig0.50,4.68,x,High,no,Day-4 sigma_carbon anchor; wedge=(m-1)*LEVEL ~$513/t,2026-07-26,planit_internal,
Model,DP_multiple_sig0.83,9.23,x,High,no,Carbon VIX band top; wedge ~$1146/t,2026-07-26,planit_internal,
Model,collar_effect,4.68x_to_2.34x,ratio,High,no,collar/CfD truncates sigma 0.50->0.22; wedge $513->$187/t per ~0 fiscal,2026-07-26,planit_internal,
Benchmark_KR,scenario_primary,NZ2050_limCCS,label,High,RESOLVED-draft,GCAM-KAIST; +robustness NZ2050 + counterfactual CurPol + power sensitivity NZ2050_Nuc (D1 07-20),2026-07-26,planit_internal,
Benchmark_JP,scenario,TZ-OSeMOSYS-STEEL,label,Med,RESOLVED-draft-FLAG,separate IAM (not GCAM); normalize KR/JP via state variables; NEEDS USER SIGN-OFF (DRIFT-2),2026-07-26,planit_internal,
Decision,merit_order_rule,reline-gate>LCOA-asc>dual-share-track>WACC-tiebreak,rule,Med,RESOLVED-draft,KR=GCAM limCCS / JP=TZ share; + HBI-NG bridge state (D1 07-20),2026-07-26,planit_internal,
Decision,carbon_factor_status,2factor-baseline_3rdfactor-Phase1b,label,High,RE-PINNED,Phase-1 = 2-factor(H2,elec); carbon-3rd-factor LEVEL/WEDGE = Phase-1b extension (DRIFT-1),2026-07-26,planit_internal
Correlation,rho_H2_elec,0.35,ratio,Low,no,in-house electrolysis (LSM v2 value),2026-07-26,planit_internal,
Correlation,rho_carbon_elec,0.20,ratio,Low,no,grid emission channel (LSM v2 value),2026-07-26,planit_internal,
Correlation,rho_carbon_H2,0.00,ratio,Low,no,LSM v2 assumption,2026-07-26,planit_internal,
Rawmat,iron_ore,98.25,USD_per_t,High,no,soft; Fitch 2026 ~100,2026-07-26,planit_internal,
Rawmat,coking_coal,241,USD_per_t,High,no,choppy 226-241; Fitch outlook 220,2026-07-26,planit_internal,
FX,KRW_USD,1380,KRW_per_USD,working,no,working assumption,2026-07-26,planit_internal,
FX,JPY_USD,155,JPY_per_USD,working,no,working assumption,2026-07-26,planit_internal,
